id,user_id,skill_id,projectName,projectDescription,projectExperience,role,create_at,status
253,534,691,PHP Forum Integration,Redesign presentation slides template to modernize branding and improve visual appeal.,4 years,Business Analyst,10/1/2023,pending
254,387,913,Python Data Analysis Automation,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,1 month,Developer/Programmer,10/12/2023,Not Approved
255,259,23,Power BI Dashboard Enhancement,Redesign presentation slides template to modernize branding and improve visual appeal.,9 months,Designer,6/13/2023,Not Approved
256,607,808,Project Management Tool Implementation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 month,Business Analyst,11/21/2023,Approved
257,933,132,Presenting Skills Workshop Development,Develop a scalable and responsive web application using React for improved user experience.,6 months,Designer,1/12/2024,Approved
258,411,170,Java Enterprise Application Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,6 months,Team Lead,10/5/2023,Approved
259,572,157,SQL Database Optimization Project,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 years,Project Manager,7/18/2023,pending
260,746,210,Project Management Tool Implementation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,6 months,Developer/Programmer,1/30/2024,pending
261,227,86,Java Enterprise Application Development,Develop a scalable and responsive web application using React for improved user experience.,7 months,Designer,11/2/2023,Approved
262,320,202,Presenting Skills Workshop Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,2 months,Developer/Programmer,12/22/2023,Not Approved
263,461,430,PHP Forum Integration,Develop a scalable and responsive web application using React for improved user experience.,5 years,Designer,11/26/2023,Approved
264,196,787,Snowflake Data Warehouse Migration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,6 months,Team Lead,2/7/2024,pending
265,337,535,Project Management Tool Implementation,Develop a scalable and responsive web application using React for improved user experience.,2 months,Subject Matter Expert (SME),12/4/2023,pending
266,322,174,Project Management Tool Implementation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,2 years,Designer,8/11/2023,Not Approved
267,433,13,React Web Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,6 months,Team Lead,6/10/2023,Approved
268,477,284,Project Management Tool Implementation,Redesign presentation slides template to modernize branding and improve visual appeal.,10 years,Project Manager,3/29/2024,Approved
269,504,702,React Web Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,5 months,Project Manager,7/19/2023,Approved
270,83,497,Slides Template Redesign,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,9 months,Business Analyst,9/28/2023,Approved
271,37,518,Presenting Skills Workshop Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,2 years,Subject Matter Expert (SME),7/21/2023,pending
272,679,446,Power BI Dashboard Enhancement,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 years,Designer,8/28/2023,Not Approved
273,694,990,React Web Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,5 years,Project Manager,10/27/2023,pending
274,69,511,Power BI Dashboard Enhancement,Enhance existing Power BI dashboards with advanced visualizations and data insights.,10 months,Business Analyst,11/8/2023,Approved
275,326,992,Power BI Dashboard Enhancement,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,3 months,Designer,4/21/2023,pending
276,110,160,Presenting Skills Workshop Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,3 months,Project Manager,1/23/2024,pending
277,579,511,Power BI Dashboard Enhancement,Redesign presentation slides template to modernize branding and improve visual appeal.,5 months,Designer,3/28/2024,pending
278,468,760,Python Data Analysis Automation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,9 months,Team Lead,8/26/2023,Approved
279,447,884,Snowflake Data Warehouse Migration,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,7 months,Project Manager,7/14/2023,pending
280,862,691,PHP Forum Integration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,2 months,Team Lead,9/17/2023,pending
281,185,992,SQL Database Optimization Project,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 years,Team Lead,3/22/2024,Not Approved
282,589,267,Snowflake Data Warehouse Migration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 years,Quality Assurance (QA) Engineer,2/25/2024,pending
283,356,988,PHP Forum Integration,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,9 months,Business Analyst,12/9/2023,Approved
284,847,184,Java Enterprise Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,7 months,Business Analyst,8/14/2023,Approved
285,684,510,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,7 years,Quality Assurance (QA) Engineer,12/29/2023,Not Approved
286,754,263,Project Management Tool Implementation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 years,Team Lead,9/16/2023,Approved
287,252,932,Presenting Skills Workshop Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,4 years,Business Analyst,3/28/2024,Approved
288,193,823,Snowflake Data Warehouse Migration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,8 months,Business Analyst,4/13/2023,Not Approved
289,473,459,Java Enterprise Application Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,2 years,Team Lead,6/12/2023,Not Approved
290,344,19,Snowflake Data Warehouse Migration,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,1 month,Quality Assurance (QA) Engineer,4/29/2023,Approved
291,418,46,Project Management Tool Implementation,Develop a scalable and responsive web application using React for improved user experience.,2 months,Team Lead,2/3/2024,Not Approved
292,904,153,React Web Application Development,Redesign presentation slides template to modernize branding and improve visual appeal.,3 months,Business Analyst,11/9/2023,Not Approved
293,771,270,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,4 years,Subject Matter Expert (SME),10/23/2023,Not Approved
294,701,799,PHP Forum Integration,Develop a scalable and responsive web application using React for improved user experience.,7 years,Business Analyst,12/17/2023,Not Approved
295,475,42,Python Data Analysis Automation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 years,Business Analyst,12/27/2023,pending
296,577,326,SQL Database Optimization Project,Redesign presentation slides template to modernize branding and improve visual appeal.,1 years,Designer,12/12/2023,Not Approved
297,555,493,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 years,Project Manager,6/29/2023,Not Approved
298,258,856,Java Enterprise Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,6 months,Quality Assurance (QA) Engineer,5/19/2023,Not Approved
299,931,976,Power BI Dashboard Enhancement,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,7 years,Quality Assurance (QA) Engineer,10/12/2023,Approved
300,601,336,Power BI Dashboard Enhancement,Enhance existing Power BI dashboards with advanced visualizations and data insights.,9 months,Project Manager,6/12/2023,Not Approved
301,3,250,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,10 years,Project Manager,1/14/2024,pending
302,312,780,React Web Application Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,8 months,Team Lead,2/1/2024,pending
303,2,342,Java Enterprise Application Development,Develop a scalable and responsive web application using React for improved user experience.,1 month,Project Manager,1/16/2024,Not Approved
304,862,722,SQL Database Optimization Project,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,5 years,Subject Matter Expert (SME),7/16/2023,Not Approved
305,479,923,React Web Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,4 years,Quality Assurance (QA) Engineer,5/31/2023,pending
306,489,474,Presenting Skills Workshop Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 month,Subject Matter Expert (SME),1/14/2024,Approved
307,394,262,React Web Application Development,Develop a scalable and responsive web application using React for improved user experience.,6 months,Subject Matter Expert (SME),7/14/2023,Not Approved
308,599,961,Snowflake Data Warehouse Migration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,9 months,Team Lead,9/7/2023,Approved
309,975,182,React Web Application Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,10 years,Team Lead,9/25/2023,Approved
310,897,933,SQL Database Optimization Project,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,2 months,Subject Matter Expert (SME),11/25/2023,pending
311,726,271,PHP Forum Integration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 years,Subject Matter Expert (SME),11/18/2023,Approved
312,44,995,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,3 months,Business Analyst,10/27/2023,pending
313,130,929,Project Management Tool Implementation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,6 months,Subject Matter Expert (SME),3/23/2024,pending
314,13,453,Java Enterprise Application Development,Develop a scalable and responsive web application using React for improved user experience.,7 months,Quality Assurance (QA) Engineer,6/29/2023,Approved
315,989,709,Presenting Skills Workshop Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,6 months,Developer/Programmer,6/25/2023,pending
316,9,802,Slides Template Redesign,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,10 months,Business Analyst,9/27/2023,Not Approved
317,897,463,Slides Template Redesign,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,10 months,Business Analyst,12/9/2023,pending
318,451,582,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,10 months,Project Manager,12/22/2023,Not Approved
319,43,931,Python Data Analysis Automation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,3 months,Business Analyst,1/12/2024,pending
320,482,216,SQL Database Optimization Project,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,4 years,Subject Matter Expert (SME),11/29/2023,Not Approved
321,304,377,Python Data Analysis Automation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,8 months,Business Analyst,7/21/2023,pending
322,388,888,PHP Forum Integration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 years,Project Manager,4/28/2023,pending
323,459,156,Python Data Analysis Automation,Redesign presentation slides template to modernize branding and improve visual appeal.,1 month,Subject Matter Expert (SME),7/11/2023,pending
324,902,600,Snowflake Data Warehouse Migration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 months,Developer/Programmer,1/22/2024,Approved
325,143,36,React Web Application Development,Develop a scalable and responsive web application using React for improved user experience.,5 years,Subject Matter Expert (SME),11/2/2023,Not Approved
326,525,891,Presenting Skills Workshop Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,10 months,Business Analyst,9/22/2023,pending
327,791,133,PHP Forum Integration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 months,Business Analyst,12/21/2023,pending
328,367,134,Power BI Dashboard Enhancement,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 months,Quality Assurance (QA) Engineer,2/27/2024,Approved
329,380,274,PHP Forum Integration,Redesign presentation slides template to modernize branding and improve visual appeal.,1 years,Team Lead,9/9/2023,Not Approved
330,614,100,Power BI Dashboard Enhancement,Redesign presentation slides template to modernize branding and improve visual appeal.,8 months,Designer,4/8/2023,Approved
331,414,100,SQL Database Optimization Project,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,5 years,Quality Assurance (QA) Engineer,5/13/2023,pending
332,786,878,Presenting Skills Workshop Development,Redesign presentation slides template to modernize branding and improve visual appeal.,9 months,Project Manager,8/16/2023,Not Approved
333,939,776,Python Data Analysis Automation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,3 months,Business Analyst,5/12/2023,Not Approved
334,372,387,Power BI Dashboard Enhancement,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 years,Developer/Programmer,3/9/2024,pending
335,739,197,SQL Database Optimization Project,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,4 years,Developer/Programmer,5/17/2023,pending
336,145,678,Slides Template Redesign,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,7 years,Quality Assurance (QA) Engineer,1/6/2024,Approved
337,602,722,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,8 months,Project Manager,4/30/2023,Not Approved
338,893,866,Java Enterprise Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,3 months,Business Analyst,3/1/2024,Not Approved
339,389,234,Python Data Analysis Automation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,2 months,Business Analyst,5/29/2023,pending
340,118,46,Python Data Analysis Automation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,3 months,Team Lead,7/24/2023,Not Approved
341,865,373,Power BI Dashboard Enhancement,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,9 months,Business Analyst,5/1/2023,pending
342,693,48,Snowflake Data Warehouse Migration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,5 months,Subject Matter Expert (SME),11/4/2023,Approved
343,722,390,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,9 months,Business Analyst,9/3/2023,Not Approved
344,796,593,Power BI Dashboard Enhancement,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,10 years,Quality Assurance (QA) Engineer,10/5/2023,Not Approved
345,138,683,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,1 years,Project Manager,7/31/2023,Not Approved
346,668,437,PHP Forum Integration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,2 months,Designer,7/1/2023,Approved
347,945,519,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,9 months,Team Lead,7/22/2023,pending
348,328,909,Project Management Tool Implementation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,10 months,Designer,8/13/2023,Approved
349,312,859,Presenting Skills Workshop Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,10 years,Quality Assurance (QA) Engineer,4/10/2023,Approved
350,988,123,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,5 years,Project Manager,3/1/2024,pending
351,589,98,Snowflake Data Warehouse Migration,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,3 months,Designer,3/15/2024,Not Approved
352,843,974,Power BI Dashboard Enhancement,Enhance existing Power BI dashboards with advanced visualizations and data insights.,7 years,Business Analyst,9/13/2023,pending
353,531,198,Presenting Skills Workshop Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,4 months,Designer,2/13/2024,Approved
354,699,869,Slides Template Redesign,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,1 month,Project Manager,10/14/2023,pending
355,466,590,Java Enterprise Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,8 months,Designer,9/20/2023,Approved
356,687,523,Slides Template Redesign,Redesign presentation slides template to modernize branding and improve visual appeal.,2 years,Project Manager,6/20/2023,Not Approved
357,695,947,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,7 months,Subject Matter Expert (SME),2/24/2024,Approved
358,399,785,Snowflake Data Warehouse Migration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 month,Project Manager,9/3/2023,pending
359,990,672,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,8 months,Developer/Programmer,6/3/2023,Not Approved
360,334,763,Slides Template Redesign,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,3 months,Subject Matter Expert (SME),12/8/2023,pending
361,662,1000,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,4 months,Designer,7/9/2023,Approved
362,323,616,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,2 months,Developer/Programmer,6/9/2023,pending
363,320,857,Slides Template Redesign,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,2 months,Project Manager,7/21/2023,Approved
364,996,115,Slides Template Redesign,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,8 months,Designer,8/5/2023,Approved
365,414,69,PHP Forum Integration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,4 years,Business Analyst,2/13/2024,Not Approved
366,539,486,Slides Template Redesign,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 months,Subject Matter Expert (SME),7/30/2023,Approved
367,850,398,Power BI Dashboard Enhancement,Redesign presentation slides template to modernize branding and improve visual appeal.,7 months,Business Analyst,9/27/2023,pending
368,405,34,Project Management Tool Implementation,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,1 month,Quality Assurance (QA) Engineer,9/17/2023,Approved
369,532,19,SQL Database Optimization Project,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,5 months,Quality Assurance (QA) Engineer,8/16/2023,pending
370,52,585,Snowflake Data Warehouse Migration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 months,Designer,9/25/2023,Approved
371,541,917,Python Data Analysis Automation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,4 years,Quality Assurance (QA) Engineer,3/10/2024,Approved
372,310,85,PHP Forum Integration,Redesign presentation slides template to modernize branding and improve visual appeal.,5 months,Project Manager,11/17/2023,Not Approved
373,898,349,SQL Database Optimization Project,Enhance existing Power BI dashboards with advanced visualizations and data insights.,3 months,Developer/Programmer,9/15/2023,Not Approved
374,771,889,Slides Template Redesign,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,5 years,Designer,7/10/2023,pending
375,651,936,Snowflake Data Warehouse Migration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,4 years,Subject Matter Expert (SME),11/13/2023,Approved
376,651,817,Slides Template Redesign,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 months,Designer,6/7/2023,Not Approved
377,1000,732,React Web Application Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,10 years,Team Lead,1/19/2024,Not Approved
378,897,721,Project Management Tool Implementation,Develop a scalable and responsive web application using React for improved user experience.,5 years,Subject Matter Expert (SME),10/13/2023,Not Approved
379,215,309,Snowflake Data Warehouse Migration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,2 months,Developer/Programmer,3/30/2024,Not Approved
380,542,434,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,1 years,Team Lead,7/3/2023,Approved
381,452,67,Project Management Tool Implementation,Redesign presentation slides template to modernize branding and improve visual appeal.,7 years,Team Lead,11/29/2023,Not Approved
382,784,528,Power BI Dashboard Enhancement,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 years,Developer/Programmer,10/14/2023,pending
383,750,460,PHP Forum Integration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,2 months,Quality Assurance (QA) Engineer,5/3/2023,Approved
384,61,307,Power BI Dashboard Enhancement,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,10 years,Project Manager,11/23/2023,pending
385,493,903,Java Enterprise Application Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,1 years,Designer,7/21/2023,Not Approved
386,507,989,Presenting Skills Workshop Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,4 months,Quality Assurance (QA) Engineer,1/28/2024,pending
387,616,105,SQL Database Optimization Project,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,10 months,Business Analyst,7/28/2023,Not Approved
388,588,139,Java Enterprise Application Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,10 months,Quality Assurance (QA) Engineer,3/1/2024,Approved
389,651,462,Java Enterprise Application Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,10 months,Project Manager,1/27/2024,Approved
390,466,32,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,3 months,Quality Assurance (QA) Engineer,3/20/2024,Approved
391,888,415,Power BI Dashboard Enhancement,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,4 months,Project Manager,4/1/2024,Not Approved
392,318,361,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,4 months,Team Lead,4/18/2023,Not Approved
393,581,268,Project Management Tool Implementation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,9 months,Developer/Programmer,9/3/2023,Approved
394,600,928,Python Data Analysis Automation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,2 years,Subject Matter Expert (SME),5/22/2023,Not Approved
395,324,569,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,10 months,Subject Matter Expert (SME),10/14/2023,Not Approved
396,341,603,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,10 months,Quality Assurance (QA) Engineer,12/22/2023,Approved
397,768,417,Presenting Skills Workshop Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,4 years,Developer/Programmer,6/28/2023,pending
398,147,994,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,4 years,Developer/Programmer,5/27/2023,pending
399,28,824,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,3 months,Team Lead,10/26/2023,Approved
400,931,636,Presenting Skills Workshop Development,Redesign presentation slides template to modernize branding and improve visual appeal.,2 months,Project Manager,1/23/2024,Not Approved
401,893,750,Python Data Analysis Automation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,5 years,Subject Matter Expert (SME),1/9/2024,Approved
402,712,737,SQL Database Optimization Project,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,7 months,Subject Matter Expert (SME),7/8/2023,Not Approved
403,223,55,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,10 years,Designer,6/26/2023,Approved
404,549,160,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,9 months,Team Lead,10/11/2023,Not Approved
405,197,426,Presenting Skills Workshop Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,10 months,Subject Matter Expert (SME),11/23/2023,pending
406,80,732,Python Data Analysis Automation,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,1 years,Subject Matter Expert (SME),2/17/2024,Not Approved
407,460,737,Presenting Skills Workshop Development,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,2 years,Developer/Programmer,5/12/2023,Approved
408,372,201,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,10 years,Business Analyst,5/24/2023,pending
409,22,820,Snowflake Data Warehouse Migration,Redesign presentation slides template to modernize branding and improve visual appeal.,10 months,Subject Matter Expert (SME),2/1/2024,Approved
410,727,377,Snowflake Data Warehouse Migration,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,6 months,Subject Matter Expert (SME),2/24/2024,pending
411,39,616,Snowflake Data Warehouse Migration,Develop a scalable and responsive web application using React for improved user experience.,3 months,Project Manager,9/23/2023,Not Approved
412,703,772,Project Management Tool Implementation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,4 months,Project Manager,11/27/2023,Not Approved
413,179,988,Snowflake Data Warehouse Migration,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,5 months,Subject Matter Expert (SME),8/26/2023,Approved
414,692,621,Project Management Tool Implementation,Enhance existing Power BI dashboards with advanced visualizations and data insights.,7 years,Quality Assurance (QA) Engineer,5/26/2023,pending
415,582,83,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,8 months,Developer/Programmer,10/6/2023,Not Approved
416,948,982,SQL Database Optimization Project,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,5 years,Team Lead,8/26/2023,pending
417,195,628,Snowflake Data Warehouse Migration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,6 months,Developer/Programmer,9/16/2023,Approved
418,595,665,Java Enterprise Application Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,8 months,Project Manager,8/11/2023,Approved
419,249,931,SQL Database Optimization Project,Enhance existing Power BI dashboards with advanced visualizations and data insights.,5 months,Subject Matter Expert (SME),8/28/2023,pending
420,843,878,Slides Template Redesign,Enhance existing Power BI dashboards with advanced visualizations and data insights.,7 years,Quality Assurance (QA) Engineer,4/23/2023,Not Approved
421,596,689,SQL Database Optimization Project,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,9 months,Business Analyst,8/11/2023,pending
422,300,232,Python Data Analysis Automation,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 months,Designer,6/25/2023,Approved
423,492,468,React Web Application Development,Develop a scalable and responsive web application using React for improved user experience.,7 months,Developer/Programmer,8/31/2023,Not Approved
424,958,494,React Web Application Development,Develop a scalable and responsive web application using React for improved user experience.,5 years,Designer,4/27/2023,pending
425,184,871,PHP Forum Integration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,9 months,Project Manager,9/13/2023,Not Approved
426,854,16,React Web Application Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,10 years,Subject Matter Expert (SME),12/29/2023,Approved
427,56,407,Slides Template Redesign,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,10 months,Business Analyst,4/15/2023,Not Approved
428,939,269,Power BI Dashboard Enhancement,Enhance existing Power BI dashboards with advanced visualizations and data insights.,1 years,Designer,3/11/2024,Not Approved
429,159,313,Power BI Dashboard Enhancement,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,5 years,Designer,9/27/2023,Not Approved
430,464,548,Snowflake Data Warehouse Migration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 years,Quality Assurance (QA) Engineer,2/17/2024,Approved
431,375,311,SQL Database Optimization Project,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,5 years,Team Lead,3/29/2024,pending
432,834,249,SQL Database Optimization Project,Enhance existing Power BI dashboards with advanced visualizations and data insights.,4 months,Subject Matter Expert (SME),6/1/2023,pending
433,968,122,Python Data Analysis Automation,Redesign presentation slides template to modernize branding and improve visual appeal.,5 months,Developer/Programmer,1/15/2024,Approved
434,750,304,SQL Database Optimization Project,Develop a scalable and responsive web application using React for improved user experience.,7 months,Designer,1/7/2024,Approved
435,436,90,Snowflake Data Warehouse Migration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,2 years,Developer/Programmer,8/6/2023,pending
436,844,412,Power BI Dashboard Enhancement,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,10 months,Subject Matter Expert (SME),5/6/2023,pending
437,299,446,React Web Application Development,Redesign presentation slides template to modernize branding and improve visual appeal.,10 months,Subject Matter Expert (SME),9/9/2023,pending
438,473,32,PHP Forum Integration,Develop an interactive workshop to improve presenting skills using modern techniques and tools.,6 months,Business Analyst,7/30/2023,Not Approved
439,747,324,React Web Application Development,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,4 years,Team Lead,10/9/2023,pending
440,524,612,Python Data Analysis Automation,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,10 months,Developer/Programmer,5/14/2023,Not Approved
441,254,25,Project Management Tool Implementation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,10 months,Business Analyst,6/9/2023,Not Approved
442,64,431,Power BI Dashboard Enhancement,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,1 years,Project Manager,6/22/2023,pending
443,296,682,Java Enterprise Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,6 months,Developer/Programmer,4/5/2024,Not Approved
444,395,570,Project Management Tool Implementation,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,3 months,Developer/Programmer,1/2/2024,Approved
445,558,514,Project Management Tool Implementation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,7 months,Quality Assurance (QA) Engineer,1/26/2024,pending
446,605,257,Python Data Analysis Automation,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,3 months,Business Analyst,2/1/2024,pending
